id,tipus,font,nom,municipi,sstt,ssttNou,enquesta,grups,pDepartament,pAltres,pTotal,e75paret,e75rodes,e65paret,e65rodes,eTotal,a75paret,a75rodes,a65paret,a65rodes,aTotal,apTotal,srFixes,srRodes,srTotal,asm,mad,public,maleta,max
"08000013",ESC,Centre públic Dep. i CEB,Escola Francesc Platón i Sartí,Abrera,BLL,BLL,1,18,0,0,0,0,0,0,20,20,0,0,0,18,18,18,0,0,0,0,0,1,1,0
"08000049",ESC,Centre públic Dep. i CEB,Escola Fabra,Alella,MVO,MVO,1,19,1,6,7,17,0,0,0,17,17,0,0,0,17,18,17,0,17,2,2,1,1,0
"08000086",ESC-ZER,Centre públic Dep. i CEB,Escola La Forja - ZER Alt Lluçanès,Alpens,CCE,CCE,1,3,0,0,0,1,1,0,0,2,1,1,0,0,2,2,1,1,2,0,0,1,0,0
"08000098",ESC,Centre públic Dep. i CEB,Escola Bertí,L'Ametlla del Vallès,MVO,MVO,1,17,2,1,3,4,0,0,0,4,4,0,0,0,4,6,3,1,4,3,3,1,1,0
"08000153",ESC,Centre públic Dep. i CEB,Escola Joan Maragall,Arenys de Mar,MVO,MVO,1,24,0,0,0,17,1,9,0,27,17,1,6,0,24,24,9,1,10,0,0,1,1,0
"08000165",ESC,Centre públic Dep. i CEB,Escola Sant Martí,Arenys de Munt,MVO,MVO,1,16,1,1,2,15,1,0,0,16,15,0,0,0,15,16,15,0,15,1,1,1,1,0
"08000189",ESC,Centre públic Dep. i CEB,Escola Bernat de Riudemeia,Argentona,MVO,MVO,1,9,1,5,6,8,0,1,1,10,8,0,0,0,8,9,0,0,0,1,1,1,1,0
"08000244",ESC,Centre públic Dep. i CEB,Escola Doctor Ferrer,Artés,CCE,CCE,1,22,0,0,0,16,2,0,0,18,16,2,0,0,18,18,16,2,18,0,0,1,1,0
"08000271",ESC,Centre públic Dep. i CEB,Escola Santa Maria d'Avià,Avià,CCE,CCE,1,11,0,0,0,10,2,0,0,12,10,1,0,0,11,11,10,1,11,0,0,1,1,0
"08000347",ESC,Centre públic Dep. i CEB,Escola d'Avinyonet del Penedès,Avinyó Nou (Avinyonet del Penedès),BCO,PEN,1,9,2,6,8,6,0,0,0,6,6,0,0,0,6,8,6,0,6,3,3,1,1,0
"08000359",ESC,Centre públic Dep. i CEB,Escola La Muntanya,Aiguafreda,MVO,MVO,1,10,1,0,1,5,3,0,3,11,5,3,0,1,9,10,5,4,9,1,1,1,1,0
"08000384",ESC,Centre públic Dep. i CEB,Escola Lola Anglada,Badalona,BCO,BCO,1,19,0,0,0,1,0,9,2,12,1,0,9,2,12,12,0,0,0,0,0,1,1,0
"08000396",ESC,Centre públic Dep. i CEB,Escola Ventós i Mir,Badalona,BCO,BCO,1,16,5,1,6,0,0,12,0,12,0,0,11,0,11,16,11,0,11,5,5,1,1,0
"08000402",ESC,Centre públic Dep. i CEB,Escola Feliu i Vegués,Badalona,BCO,BCO,1,13,3,7,10,7,0,0,0,7,7,0,0,0,7,10,7,0,7,6,4,1,1,0
"08000670",ESC,Concertada 30% NESE,FEP Mare de Déu de la Salut,Badalona,BCO,BCO,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,1,0
"08001145",IE,Concertada 30% NESE,Lestonnac,Badalona,BCO,BCO,0,26,0,0,0,0,0,0,0,0,26,0,0,0,26,26,0,0,0,0,0,0,1,0
"08001170",IE,Concertada 30% NESE,Santíssima Trinitat,Badalona,BCO,BCO,0,14,0,0,0,0,0,0,0,0,14,0,0,0,14,14,0,0,0,0,0,0,1,0
"08001391",ESC,Centre públic Dep. i CEB,Escola Planas i Casals,Badalona,BCO,BCO,1,18,0,0,0,7,11,0,0,18,7,11,0,0,18,18,7,11,18,0,0,1,1,0
"08001421",INS,Centre públic Dep. i CEB,Institut La Pineda,Badalona,BCO,BCO,1,37,0,0,0,0,10,0,2,12,0,10,0,2,12,12,0,0,0,0,0,1,1,0
"08001431",INS,Centre públic Dep. i CEB,Institut Isaac Albéniz,Badalona,BCO,BCO,1,26,0,0,0,22,0,0,0,22,22,0,0,0,22,22,0,0,0,0,0,1,1,0
"08001443",INS,Centre públic Dep. i CEB,Institut Eugeni d'Ors,Badalona,BCO,BCO,1,28,0,0,0,14,0,0,12,26,14,0,0,12,26,26,14,12,26,0,0,1,1,0
"08001480",INS,Centre públic Dep. i CEB,EA Pau Gargallo,Badalona,BCO,BCO,1,8,0,0,0,6,0,0,0,6,6,0,0,0,6,6,6,0,6,0,0,1,1,0
"08001509",ESC,Centre públic Dep. i CEB,Escola Antoni Botey,Badalona,BCO,BCO,1,18,1,1,2,18,0,0,0,18,17,0,0,0,17,18,17,0,17,1,1,1,1,0
"08001522",ESC,Centre públic Dep. i CEB,Escola Galceran de Pinós,Bagà,CCE,CCE,1,9,1,0,1,6,0,0,1,7,6,0,0,1,7,8,3,1,4,1,1,1,1,0
"08001595",ESC,Centre públic Dep. i CEB,Escola Baixeras,Barcelona,CEB,CEB,1,9,1,3,4,9,0,0,0,9,8,0,0,0,8,9,0,0,0,1,1,1,1,0
"08001601",ESC,Centre públic Dep. i CEB,Escola Parc de la Ciutadella,Barcelona,CEB,CEB,1,9,1,8,9,1,0,8,0,9,1,0,7,0,8,9,3,0,3,1,1,1,1,0
"08001649",ESC,Centre públic Dep. i CEB,Escola Mossèn Jacint Verdaguer,Barcelona,CEB,CEB,1,18,3,0,3,18,0,0,0,18,15,0,0,0,15,18,0,0,0,3,3,1,1,0
"08001650",ESC,Centre públic Dep. i CEB,Escola El Polvorí,Barcelona,CEB,CEB,1,9,3,1,4,6,1,0,0,7,6,0,0,0,6,9,0,1,1,3,3,1,1,0
"08001674",ESC,Centre públic Dep. i CEB,Escola Can Clos,Barcelona,CEB,CEB,1,9,1,0,1,4,3,0,0,7,4,3,0,0,7,8,4,3,7,1,1,1,1,0
"08001716",ESC,Centre públic Dep. i CEB,Escola Dolors Monserdà-Santapau,Barcelona,CEB,CEB,1,20,2,0,2,18,0,0,0,18,18,0,0,0,18,20,18,0,18,2,2,1,1,0
"08001731",ESC,Centre públic Dep. i CEB,Escola Poeta Foix,Barcelona,CEB,CEB,1,9,1,0,1,10,4,0,0,14,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"08001777",ESC,Centre públic Dep. i CEB,Escola Ramon Llull,Barcelona,CEB,CEB,1,21,0,0,0,20,0,0,0,20,20,0,0,0,20,20,8,0,8,0,0,1,1,0
"08001789",ESC,Centre públic Dep. i CEB,Escola Cervantes,Barcelona,CEB,CEB,1,9,1,0,1,9,0,0,0,9,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"08001790",ESC,Centre públic Dep. i CEB,Escola Pere Vila,Barcelona,CEB,CEB,1,18,2,0,2,18,0,0,0,18,16,0,0,0,16,18,6,0,6,2,2,1,1,0
