id,nom,municipi,sstt,ssttNou,idResposta,dataResposta,pDepartament,pAltres,pTotal,e75paret,e75rodes,e65paret,e65rodes,eTotal,srFixes,srRodes,srTotal,retirada,armaris
"08000013",Escola Francesc Platón i Sartí,Abrera,BLL,BLL,4230878,01/04/2022,0,0,0,0,0,0,20,20,0,0,0,16,5
"08000049",Escola Fabra,Alella,MVO,MVO,4225112,29/03/2022,0,6,6,17,0,0,0,17,17,0,17,16,4
"08000086",Escola La Forja - ZER Alt Lluçanès,Alpens,CCE,CCE,4229999,31/03/2022,0,0,0,1,1,0,0,2,1,1,2,0,1
"08000098",Escola Bertí,L'Ametlla del Vallès,MVO,MVO,4227853,30/03/2022,2,1,3,4,0,0,0,4,3,1,4,4,0
"08000153",Escola Joan Maragall,Arenys de Mar,MVO,MVO,4223402,28/03/2022,0,0,0,17,1,9,0,27,9,1,10,17,5
"08000165",Escola Sant Martí,Arenys de Munt,MVO,MVO,4218886,25/03/2022,1,1,2,15,1,0,0,16,15,1,16,15,2
"08000189",Escola Bernat de Riudemeia,Argentona,MVO,MVO,4229994,31/03/2022,8,5,13,8,0,1,1,10,0,0,0,7,2
"08000244",Escola Doctor Ferrer,Artés,CCE,CCE,4227588,30/03/2022,0,0,0,16,2,0,0,18,16,2,18,18,4
"08000271",Escola Santa Maria d'Avià,Avià,CCE,CCE,4215491,24/03/2022,0,0,0,10,2,0,0,12,10,2,12,10,3
"08000347",Escola d'Avinyonet del Penedès,Avinyó Nou (Avinyonet del Penedès),BCO,PEN,4213455,23/03/2022,5,6,11,6,0,0,0,6,6,0,6,4,1
"08000359",Escola La Muntanya,Aiguafreda,MVO,MVO,4229938,31/03/2022,0,0,0,5,3,0,3,11,5,6,11,8,3
"08000384",Escola Lola Anglada,Badalona,BCO,BCO,4228959,31/03/2022,0,0,0,1,0,9,2,12,0,0,0,3,4
"08000396",Escola Ventós i Mir,Badalona,BCO,BCO,4214015,23/03/2022,4,1,5,0,0,12,0,12,12,0,12,8,1
"08000402",Escola Feliu i Vegués,Badalona,BCO,BCO,4216360,24/03/2022,1,7,8,7,0,0,0,7,7,0,7,7,1
"08001391",Escola Planas i Casals,Badalona,BCO,BCO,4227861,30/03/2022,0,0,0,7,11,0,0,18,7,11,18,0,2
"08001421",Institut La Pineda,Badalona,BCO,BCO,4225889,29/03/2022,0,0,0,0,10,0,2,12,0,0,0,0,4
"08001431",Institut Isaac Albéniz,Badalona,BCO,BCO,4216259,24/03/2022,0,0,0,22,0,0,0,22,0,0,0,0,0
"08001443",Institut Eugeni d'Ors,Badalona,BCO,BCO,4215627,24/03/2022,0,0,0,14,0,0,12,26,14,12,26,0,2
"08001480",EA Pau Gargallo,Badalona,BCO,BCO,4213674,23/03/2022,0,0,0,6,0,0,0,6,6,0,6,6,3
"08001509",Escola Antoni Botey,Badalona,BCO,BCO,4227415,30/03/2022,1,1,2,18,0,0,0,18,17,1,18,18,3
"08001522",Escola Galceran de Pinós,Bagà,CCE,CCE,4234315,04/04/2022,1,0,1,6,0,0,1,7,3,1,4,10,2
"08001595",Escola Baixeras,Barcelona,CEB,CEB,4222356,28/03/2022,1,3,4,9,0,0,0,9,0,0,0,7,2
"08001601",Escola Parc de la Ciutadella,Barcelona,CEB,CEB,4224686,29/03/2022,1,8,9,1,0,8,0,9,3,0,3,9,1
"08001649",Escola Mossèn Jacint Verdaguer,Barcelona,CEB,CEB,4212958,23/03/2022,3,0,3,18,0,0,0,18,0,0,0,18,2
"08001650",Escola El Polvorí,Barcelona,CEB,CEB,4223504,28/03/2022,2,1,3,6,1,0,0,7,0,1,1,6,1
"08001674",Escola Can Clos,Barcelona,CEB,CEB,4224562,29/03/2022,1,0,1,4,3,0,0,7,4,3,7,0,2
"08001716",Escola Dolors Monserdà-Santapau,Barcelona,CEB,CEB,4230594,31/03/2022,2,0,2,18,0,0,0,18,18,0,18,10,4
"08001731",Escola Poeta Foix,Barcelona,CEB,CEB,4224685,29/03/2022,0,0,0,10,4,0,0,14,10,4,14,15,1
"08001777",Escola Ramon Llull,Barcelona,CEB,CEB,4214708,23/03/2022,0,0,0,20,0,0,0,20,8,0,8,20,3
"08001789",Escola Cervantes,Barcelona,CEB,CEB,4229430,31/03/2022,1,0,1,9,0,0,0,9,9,0,9,9,2
"08001790",Escola Pere Vila,Barcelona,CEB,CEB,4231455,01/04/2022,2,0,2,18,0,0,0,18,6,0,6,18,2
"08001807",Escola de la Concepció,Barcelona,CEB,CEB,4213144,23/03/2022,0,0,0,0,9,0,0,9,0,0,0,8,2
"08001819",Escola Collaso i Gil,Barcelona,CEB,CEB,4213242,23/03/2022,0,0,0,13,0,0,0,13,0,0,0,13,4
"08001820",Escola Milà i Fontanals,Barcelona,CEB,CEB,4227371,30/03/2022,0,0,0,18,3,0,0,21,18,3,21,10,4
"08001832",Escola Castella,Barcelona,CEB,CEB,4231487,01/04/2022,0,0,0,8,1,0,0,9,8,1,9,4,2
